time,count
0,22
5,29
10,38
15,38
20,18
25,27
30,16
35,17
40,18
45,21
50,15
55,10
60,16
65,25
70,13
75,15
80,12
85,13
90,18
95,10
100,9
105,8
110,6
115,7
120,8
125,13
130,17
135,15
140,9
145,11
150,13
155,11
160,13
165,11
170,8
175,7
180,11
185,9
190,10
195,6
200,13
205,16
210,10
215,9
220,11
225,11
230,11
235,9
240,12
245,9
250,9
255,12
260,19
265,5
270,10
275,13
280,13
285,13
290,10
295,13
300,15
305,10
310,13
315,10
320,17
325,15
330,10
335,10
340,7
345,11
350,15
355,16
360,7
365,11
370,15
375,12
380,9
385,11
390,15
395,13
400,15
405,11
410,13
415,24
420,17
425,32
430,14
435,17
440,18
445,10
450,17
455,22
460,10
465,14
470,11
475,5
480,12
485,16
490,13
495,15
500,16
505,22
510,19
515,20
520,22
525,12
530,19
535,23
540,15
545,21
550,21
555,18
560,15
565,9
570,12
575,17
580,11
585,8
590,14
595,5
600,9
605,8
610,2
615,4
620,4
625,14
630,3
635,9
640,11
645,6
650,9
655,13
660,4
665,9
670,11
675,9
680,9
685,9
690,8
695,8
700,12
705,15
710,14
715,7
720,13
725,5
730,14
735,10
740,8
745,16
750,10
755,10
760,14
765,10
770,11
775,11
780,8
785,10
790,11
795,3
800,6
805,3
810,3
815,8
820,6
825,4
830,1
835,3
840,7
845,10
850,3
855,8
860,9
865,9
870,6
875,4
880,8
885,9
890,5
895,10
900,2
905,10
910,9
915,11
920,11
925,11
930,11
935,5
940,3
945,8
950,2
955,5
960,6
965,9
970,8
975,6
980,6
985,1
990,5
995,6
1000,5
1005,4
1010,7
1015,10
1020,5
1025,4
1030,3
1035,7
1040,7
1045,11
1050,6
1055,8
1060,7
1065,9
1070,5
1075,6
1080,1
