count,keywords
10,進一步
10,address
10,IP
10,classless
11,router
11,class
11,16
10,22
10,23
11,192.4
11,21
12,自治區
12,routing
12,記錄
13,ASIC
13,fabric
13,它會用
9,router
9,MAC
10,deliver
10,datagram
10,IP
13,deliver
13,host
10,先算
11,表達
11,graph
13,收集
13,router
13,狀態
15,傳遞
15,訊息
15,router
15,protocol
15,狀態
9,reassembly
9,切割
9,IP
10,more
10,frag
12,組合
12,out
12,internet
13,router
13,無線網路
13,ethernet
10,discard
10,router
10,LSP
11,vector
11,link
11,protocol
11,state
11,routing
12,往回
12,往前
12,它會
13,link
13,LSP
9,34.128
9,相等
9,128.96
9,不等
10,表裡面
10,subnetting
10,查不到
11,router
8,遮罩
8,mask
8,subnet
9,經典
9,vector
9,distance
9,protocol
9,routing
13,一章
13,摘要
13,建造
13,link
16,router
16,subnetting
16,IP
9,vector
9,Detect
9,distance
9,fail
10,按照
14,unstable
8,群播
8,LAN
8,出現
8,或是
9,network
9,routing
9,第三層
15,特徵
15,router
15,network
15,routing
17,ARP
17,table
17,Maintain
17,router
17,routing
17,說過
11,protocol
11,address
11,ARP
14,設好
14,mask
14,subnet
14,講那
14,進去
9,number
9,十六次
9,class
9,16
10,subnetting
10,address
10,IP
10,class
11,subnetting
11,address
11,IP
13,分配
13,更細
13,subnetting
13,address
16,重要性
16,控制
16,precedence
16,屬性
17,protocol
17,IP
21,header
21,IP
21,datagram
23,屬性
9,相連
9,cost
10,它們
10,table
11,node
11,表來
11,表示
11,routing
12,vector
12,node
12,router
12,maintain
12,它會
15,router
15,routing
15,因為還
15,table
15,情報
