time,count
0,8
5,8
10,7
15,5
20,1
25,5
30,3
35,4
40,5
45,2
50,5
55,4
60,4
65,3
70,1
75,0
80,4
85,2
90,3
95,7
100,3
105,3
110,3
115,3
120,2
125,1
130,5
135,5
140,3
145,1
150,3
155,3
160,1
165,4
170,7
175,0
180,2
185,3
190,1
195,5
200,2
205,6
210,2
215,3
220,4
225,0
230,2
235,1
240,2
245,0
250,1
255,1
260,2
265,2
270,2
275,2
280,2
285,4
290,1
295,2
300,1
305,3
310,0
315,2
320,1
325,2
330,1
335,3
340,2
345,2
350,4
355,1
360,2
365,2
370,2
375,1
380,0
385,3
390,4
395,2
400,3
405,2
410,3
415,3
420,2
425,1
430,5
435,2
440,1
445,4
450,4
455,3
460,3
465,1
470,2
475,2
480,0
485,2
490,1
495,2
500,1
505,2
510,0
515,1
520,2
525,0
530,2
535,0
540,0
545,1
550,2
555,1
560,1
565,3
570,1
575,3
580,2
585,3
590,2
595,2
600,1
605,4
610,1
615,2
620,1
625,4
630,4
635,8
640,2
645,3
650,3
655,2
660,7
665,8
670,3
675,3
680,2
685,3
690,0
695,0
700,1
