cid,chid,chapter_order,content-order,vid,v_name
"568","2982","1","1","13952","課程簡介"
"568","2983","2","1","13674","網路基礎-1"
"568","2983","2","3","13676","網路基礎-2"
"568","2983","2","5","13678","網路基礎-3"
"568","2983","2","7","13953","網路基礎-4"
"568","2983","2","9","13955","網路基礎-5"
"568","2983","2","11","13958","網路基礎-6"
"568","2983","2","13","13960","網路基礎-7"
"568","2983","2","15","13962","網路基礎-8"
"568","2983","2","16","13964","網路基礎-9"
"568","2983","2","18","13966","網路基礎-10"
"568","2983","2","20","13968","網路基礎-11"
"568","2983","2","22","13970","網路基礎-12"
"568","2983","2","24","13971","網路基礎-13.14"
"568","2983","2","26","13974","網路基礎-15"
"568","2983","2","28","13976","網路基礎-16"
"568","2984","3","1","13680","Ethernet-1"
"568","2984","3","3","13681","Ethernet-2"
"568","2984","3","5","13682","Ethernet-3"
"568","2984","3","7","13683","Ethernet-4"
"568","2984","3","9","13684","Ethernet-5"
"568","2984","3","11","13685","Ethernet-6"
"568","2984","3","13","13686","Ethernet-7"
"568","2984","3","15","13687","Ethernet-8"
"568","2984","3","17","13688","Ethernet-9"
"568","2984","3","19","13689","Ethernet-10"
"568","2985","4","1","13695","Wireless LAN-1"
"568","2985","4","3","13696","Wireless LAN-2"
"568","2985","4","5","13697","Wireless LAN-3"
"568","2985","4","7","13698","Wireless LAN-4"
"568","2985","4","9","13699","Wireless LAN-5"
"568","2985","4","11","13700","Wireless LAN-6"
"568","2985","4","13","13701","Wireless LAN-7"
"568","2985","4","15","13702","Wireless LAN-8"
"568","2985","4","17","13703","Wireless LAN-9"
"568","2985","4","19","13704","Wireless LAN-10"
"568","2985","4","21","13705","Wireless LAN-11"
"568","2985","4","22","13706","Wireless LAN-12"
"568","2985","4","24","13707","Wireless LAN-13"
"568","2985","4","25","13708","Wireless LAN-14"
"568","2986","5","1","13709","spanning tree algorithm-1"
"568","2986","5","2","13710","spanning tree algorithm-2"
"568","2986","5","4","13711","spanning tree algorithm-3"
"568","2986","5","5","13712","spanning tree algorithm-4"
"568","2986","5","7","13713","spanning tree algorithm-5"
"568","2986","5","9","13714","spanning tree algorithm-6"
"568","2986","5","11","13715","spanning tree algorithm-7"
"568","2986","5","13","13717","spanning tree algorithm-8"
"568","2986","5","15","13718","spanning tree algorithm-9"
"568","2986","5","17","13719","spanning tree algorithm-10"
"568","2986","5","19","13720","spanning tree algorithm-11"
"568","2987","6","1","13728","VLAN-1"
"568","2987","6","3","13729","VLAN-2"
"568","2987","6","5","13730","VLAN-3"
"568","2987","6","6","13731","VLAN-4"
"568","2987","6","8","13732","VLAN-5"
"568","2987","6","10","13733","VLAN-6"
"568","2987","6","12","13734","VLAN-7"
"568","2987","6","14","13735","VLAN-8"
"568","2987","6","16","13736","VLAN-9"
"568","2987","6","17","13737","VLAN-10"
"568","2988","7","1","13742","Reliable Transmission-1"
"568","2988","7","3","13743","Reliable Transmission-2"
"568","2988","7","5","13744","Reliable Transmission-3"
"568","2988","7","7","13745","Reliable Transmission-4.5"
"568","2988","7","9","13746","Reliable Transmission-6"
"568","2988","7","11","13747","Reliable Transmission-7"
"568","2988","7","13","13748","Reliable Transmission-8"
"568","2988","7","15","13749","Reliable Transmission-9,10"
"568","2989","8","1","13758","Internetworking-1"
"568","2989","8","3","13759","Internetworking-2"
"568","2989","8","5","13760","Internetworking-3"
"568","2989","8","6","13761","Internetworking-4"
"568","2989","8","8","13762","Internetworking-5"
"568","2989","8","10","13763","Internetworking-6"
"568","2989","8","12","13764","Internetworking-7"
"568","2989","8","14","13765","Internetworking-8"
"568","2989","8","16","13766","Internetworking-9"
"568","2989","8","17","13767","Internetworking-10"
"568","2989","8","19","13768","Internetworking-11"
"568","2989","8","21","13769","Internetworking-12.13.14"
"568","2989","8","23","13770","Internetworking-15.16"
"568","2989","8","24","13771","Internetworking-17"
"568","2989","8","25","13772","Internetworking-18"
"568","2989","8","27","13773","Internetworking-19"
"568","2989","8","29","13774","Internetworking-20"
"568","2990","9","1","13775","Transport-Protocols-1"
"568","2990","9","3","13776","Transport-Protocols-2"
"568","2990","9","5","13777","Transport-Protocols-3"
"568","2990","9","7","13778","Transport-Protocols-4"
"568","2990","9","9","13779","Transport-Protocols-5"
"568","2990","9","11","13780","Transport-Protocols-6"
"568","2990","9","13","13781","Transport-Protocols-7"
"568","2990","9","15","13782","Transport-Protocols-8"
"568","2990","9","16","13783","Transport-Protocols-9"
"568","2990","9","18","13784","Transport-Protocols-10"
"568","2990","9","20","13785","Transport-Protocols-11.12"
"568","3419","10","1","17016","IPv6 協議簡介"
"568","3419","10","3","17017","IPv4/IPv6 封包標頭比較"
"568","3419","10","5","17019","IPv6 網址方式"
"568","3419","10","7","17020","全球通用 IPv6 網址"
"568","3419","10","9","17021","IPv6 路由協議 "
"568","3419","10","11","17022","IPv6 隨插即用方法"
"568","3419","10","13","17023","IPv6 傳輸路徑選擇"
"568","3419","10","15","17024","IPv6 網址轉換 MAC 網卡位置"
"568","3419","10","16","17026","IPv4 到 IPv6 轉移機制"
"568","3419","10","18","17027","Translator 轉換器"
"568","3419","10","20","17028","DSTM 運作原理"
"568","3420","11","1","17029","RFC1933 隧道機制"
"568","3420","11","3","17030","6over4 隧道機制 (I)"
"568","3420","11","5","17031","6over4 隧道機制 (II)"
"568","3420","11","6","17032","6over4 multicast"
"568","3420","11","8","17033","6to4  隧道機制"
"568","3420","11","10","17034","ISATAP  隧道機制"
"568","3420","11","12","17035","teredo 隧道機制 (I)"
"568","3420","11","13","17036","teredo 隧道機制 (II)"
"568","3420","11","15","17037","tunnel broker 隧道代理"
"568","3420","11","17","17038","SIIT 轉換機制"
"568","3420","11","19","17039","NATPT 轉換機制"
"568","3420","11","20","17040","NATPT 範例一"
"568","3420","11","21","17041","NATPA 範例二"
"568","3420","11","23","17042","Reverse Proxy 轉換機制"
"568","3420","11","25","17043","NAT64 轉換機制"
"568","3420","11","27","17044","464XLAT轉換機制(I)"
"568","3420","11","29","17045","464XLAT轉換機制(II)"
"568","3420","11","31","17046","IPv6 國內外發展現況介紹"
"568","3420","11","32","17047","國際 IPv6 發展現況"
"568","3420","11","33","17048","全球 IPv6 流量觀測網站"
"568","3420","11","34","17049","台灣 IPv6 流量觀測"
"568","3421","12","1","16302","網路安全課程大綱"
"568","3421","12","2","16303","網路安全簡介"
"568","3421","12","4","16305","網路攻擊工具"
"568","3421","12","6","16306","阻斷服務攻擊 (1)"
"568","3421","12","8","16307","阻斷服務攻擊 (2)"
"568","3421","12","10","16308","阻斷服務攻擊 (3) "
"568","3421","12","12","16309","阻斷服務攻擊 (4) "
"568","3421","12","14","16310","網路入侵與網路掃描"
"568","3421","12","16","16311","網路竊聽, 木馬, 與蠕蟲"
"568","3421","12","18","16312","分散式阻斷服務攻擊"
"568","3421","12","20","16313","反射式／放大式攻擊技術 "
"568","3421","12","22","16314","反射式攻擊技術 "
"568","3421","12","24","16315","反射式攻擊案例"
"568","3421","12","26","16316","放大式攻擊技術 "
"568","3421","12","28","16317","放大式攻擊案例"
"568","3421","12","30","16318","反射流量分析(網路黑洞) "
"568","3421","12","32","16319","反射流量分析流程 "
"568","3421","12","34","16320","反射流量特性"
"568","3421","12","36","21178","Botnet 是什麼"
"568","3421","12","37","21170","殭屍網路 Botnet "
"568","3421","12","39","21171","Botnet 有哪些架構"
"568","3421","12","41","21172","Botnet 能夠用來做什麼"
"568","3421","12","43","21173","Botnet 如何擴張 I "
"568","3421","12","44","21174","Botnet如何擴張 II "
"568","3421","12","46","21175","Botnet 如何偵測 I"
"568","3421","12","47","21176","Botnet如何偵測 II "
"568","3421","12","49","21177","Botnet 如何防治"
"568","3422","13","1","16331","何謂防火牆"
"568","3422","13","2","16332","防火牆目標"
"568","3422","13","4","16333","防火牆技術"
"568","3422","13","5","16334","封包過濾防火牆"
"568","3422","13","7","16335","封包過濾防火牆範例"
"568","3422","13","8","16336","網路位置轉換 (NAT) "
"568","3422","13","10","16338","應用層防火牆"
"568","3422","13","11","16339","SOCKS Proxy 通訊協議"
"568","3422","13","13","16340","狀態追蹤防火牆"
"568","3422","13","15","16341","防火牆架構"
"568","3422","13","17","16342","Linux 防火牆 IPtables"
"568","3422","13","18","16343","iptables 指令範例"
"568","3422","13","20","16344","IP6tables"
"568","3422","13","21","16345","企業升級 IPv6 安全強化"
"568","3422","13","22","16346","IPv4/IPv6雙協定安全議題 I"
"568","3422","13","23","16347","IPv4 IPv6雙協定安全議題 II"
"568","3422","13","24","16348","企業升級 IPv6 注意事項"
"568","3422","13","25","16349","雲端虛擬機器租賃演練"
"568","3422","13","26","16350","虛擬機器 IPv6基本設定與操作"
"568","3422","13","27","16351","雲端虛擬機器 DNSv6 設定"
"568","3422","13","28","16352","雲端 IPv6 流量觀測工具 Cacti"
"568","3422","13","29","16353","雲端 IPv6 實務演練說明"
"568","3422","13","30","16354","雲端 IPv6 實務演練步驟"
